geoid,geoid20,year,denom_renters,med_gross_rent,med_gross_rent_adj
1400000US06037139704,6037139704,2021,181,3217,3368.6516
1400000US06037139705,6037139705,2021,32,,
1400000US06037139801,6037139801,2021,43,2458,2573.8718
1400000US06037139802,6037139802,2021,123,3467,3630.4368
1400000US06037141101,6037141101,2021,1655,1961,2053.4429
1400000US06037141102,6037141102,2021,889,2069,2166.5342
1400000US06037141201,6037141201,2021,1721,1950,2041.9243
1400000US06037141202,6037141202,2021,780,2211,2315.228
1400000US06037141303,6037141303,2021,1393,2094,2192.7126
1400000US06037141304,6037141304,2021,800,1969,2061.8201
1400000US06037141305,6037141305,2021,891,2120,2219.9382
1400000US06037141306,6037141306,2021,1180,2300,2408.4236
1400000US06037141400,6037141400,2021,979,1975,2068.1028
1400000US06037141500,6037141500,2021,31,,
1400000US06037141600,6037141600,2021,229,3501,3666.0396
1400000US06037141700,6037141700,2021,76,3501,3666.0396
1400000US06037143101,6037143101,2021,402,2460,2575.9661
1400000US06037143102,6037143102,2021,972,2047,2143.4971
1400000US06037143200,6037143200,2021,1424,1689,1768.6206
1400000US06037143301,6037143301,2021,1220,1803,1887.9946
1400000US06037143302,6037143302,2021,878,1994,2087.9985
1400000US06037143401,6037143401,2021,1248,2507,2625.1816
1400000US06037143402,6037143402,2021,445,2471,2587.4846
1400000US06037143500,6037143500,2021,1173,2515,2633.5588
1400000US06037143602,6037143602,2021,1100,1813,1898.4661
1400000US06037143603,6037143603,2021,909,1931,2022.0287
1400000US06037143605,6037143605,2021,843,2848,2982.2566
1400000US06037143606,6037143606,2021,939,2113,2212.6084
1400000US06037143700,6037143700,2021,513,1952,2044.0187
1400000US06037143801,6037143801,2021,553,2563,2683.8215
1400000US06037143802,6037143802,2021,652,1952,2044.0187
1400000US06037143901,6037143901,2021,165,2798,2929.8997
1400000US06037143902,6037143902,2021,621,2095,2193.7598
1400000US06037181000,6037181000,2021,722,1701,1781.1863
1400000US06037181300,6037181300,2021,415,1713,1793.7521
